Employee_ID, Computer_OS, Computer_OS_version, Computer_tickets, Mobile_OS, Mobile_OS_version, Mobile_tickets
EID_5802,Windows,10,3,Android,10,2
EID_10009,Windows,10,1,Android,7,1
EID_9126,Windows,8,0,Android,9,1
EID_14781,Windows,8,6,Android,7,2
EID_24615,Windows,10,1,Android,7,0
EID_16186,Windows,8,7,Android,10,2
EID_14996,Windows,8,1,Android,9,0
EID_7346,Windows,10,1,Android,7,1
EID_5971,Windows,8,2,Android,9,0
EID_14791,MacOS,Mojave,3,iOS,12,0
EID_23900,MacOS,High Sierra,0,iOS,13,0
EID_3359,Windows,10,3,Android,8,0
EID_12967,Windows,10,2,Android,7,1
EID_25807,Windows,10,2,,,0
EID_18963,Windows,8,3,Android,7,1
EID_13482,Windows,10,0,Android,9,0
EID_7632,Windows,8,2,Android,9,0
EID_1403,,,13,iOS,13,4
EID_19646,Windows,10,1,Android,7,0
EID_5811,Windows,8,0,Android,7,0
EID_1500,Windows,10,4,iOS,13,0
EID_11336,Windows,8,1,Android,10,1
EID_14767,Windows,10,2,Android,9,2
EID_1152,,,1,Android,7,1
EID_11170,Windows,10,0,Android,10,0
EID_24907,Windows,7,2,Android,10,1
EID_8070,Windows,10,2,Android,9,1
EID_8723,Linux,ubuntu,2,Android,8,0
EID_5547,MacOS,Mojave,0,iOS,12,0
EID_15480,Windows,10,0,iOS,12,0
EID_23162,Windows,10,1,Android,7,0
EID_12371,Windows,10,1,Android,7,1
EID_12032,Linux,ubuntu,0,iOS,13,0
EID_13139,Windows,10,5,Android,10,1
EID_24796,Windows,8,3,Android,8,0
EID_19547,Windows,10,1,Android,8,1
EID_18867,Windows,10,2,Android,8,0
EID_15144,MacOS,Mojave,0,iOS,13,0
EID_10343,Windows,7,12,Android,7,2
EID_10136,Windows,10,0,Android,9,0
EID_11743,Windows,8,5,Android,8,1
EID_11180,Windows,8,8,Android,10,2
EID_16671,Windows,10,4,Android,7,0
EID_15505,MacOS,Mojave,2,iOS,13,0
EID_13587,Windows,8,1,,,0
EID_3674,Windows,8,4,Android,8,0
EID_3787,Windows,10,3,Android,8,0
EID_20520,Windows,8,1,,,0
EID_19642,Windows,7,2,Android,7,0
EID_4692,MacOS,High Sierra,2,iOS,13,0
EID_5938,Windows,7,7,Android,8,1
EID_3312,MacOS,Mojave,0,iOS,13,0
EID_17311,Windows,10,3,iOS,12,0
EID_15737,Windows,8,2,Android,10,0
EID_25766,Windows,8,3,Android,7,0
EID_9529,Windows,10,1,Android,9,0
EID_15393,MacOS,Big Sur,1,iOS,11,0
EID_24424,Windows,10,1,Android,9,1
EID_11919,Windows,7,3,Android,8,0
EID_10565,Windows,8,0,Android,10,0
EID_20266,Windows,10,0,Android,8,0
EID_11875,Windows,10,6,,,0
EID_15350,Windows,10,1,Android,9,2
EID_21781,Windows,8,2,Android,8,0
EID_7935,Windows,10,0,Android,9,0
EID_15789,Windows,10,4,Android,8,0
EID_10199,Windows,10,5,Android,8,0
EID_9382,Windows,7,6,Android,10,3
EID_6253,MacOS,Catalina,0,Android,10,0
EID_11724,Windows,8,3,Android,9,0
EID_17573,Windows,8,0,Android,8,0
EID_11055,MacOS,Big Sur,2,iOS,13,0
EID_2452,Windows,10,2,Android,10,1
EID_2582,,,6,Android,10,1
EID_13173,Windows,10,3,Android,9,1
EID_19634,Windows,10,3,Android,9,1
EID_15968,MacOS,Catalina,3,iOS,13,1
EID_19475,MacOS,Mojave,3,iOS,12,0
EID_14960,Windows,7,1,Android,10,1
EID_16193,Windows,10,6,Android,7,1
EID_7246,Windows,10,1,Android,10,1
EID_20478,Windows,10,4,Android,9,0
EID_11229,Windows,8,6,Android,9,2
EID_19593,MacOS,Mojave,1,iOS,11,0
EID_23232,MacOS,Catalina,3,iOS,11,0
EID_23270,Windows,10,4,Android,8,2
EID_5276,Windows,7,6,Android,8,0
EID_8067,Windows,8,1,Android,8,0
EID_14087,Linux,ubuntu,0,Android,10,0
EID_12546,Windows,10,4,iOS,13,4
EID_21624,Windows,10,1,Android,10,0
EID_25841,MacOS,Catalina,0,iOS,13,1
EID_10814,Windows,8,4,Android,10,1
EID_1324,Windows,10,0,Android,9,0
EID_4027,Windows,10,0,Android,10,0
EID_19159,Windows,10,5,Android,9,2
EID_3795,Windows,10,0,Android,8,0
EID_7255,Windows,10,5,Android,8,0
EID_20096,MacOS,Catalina,0,iOS,12,0
EID_17952,Windows,10,1,iOS,13,0
EID_3451,Windows,10,4,Android,10,3
EID_8134,Windows,8,2,Android,8,1
EID_24204,Windows,10,2,Android,10,0
EID_25090,Windows,8,5,Android,7,2
EID_10797,Windows,7,3,Android,9,0
EID_1821,Windows,7,1,Android,7,0
EID_12285,Windows,10,0,Android,7,0
EID_24155,Windows,10,2,Android,8,0
EID_1135,Windows,,5,Android,10,0
EID_25595,Windows,10,0,Android,7,0
EID_19806,Windows,10,4,Android,8,0
EID_20919,Windows,7,8,Android,7,0
EID_5504,Windows,8,3,Android,7,1
EID_3937,Windows,10,1,Android,7,1
EID_14219,Windows,10,1,Android,8,0
EID_7646,Windows,10,0,Android,10,0
EID_25256,Windows,8,2,iOS,12,4
EID_22292,,,0,Android,7,0
EID_6653,Windows,10,0,Android,10,0
EID_16000,MacOS,High Sierra,4,iOS,12,1
EID_22068,MacOS,High Sierra,0,iOS,13,0
EID_11957,,,0,Android,8,0
EID_6601,Windows,7,3,Android,9,0
EID_16469,Windows,10,1,iOS,11,1
EID_4439,Windows,8,2,Android,9,1
EID_19488,Windows,8,1,Android,9,0
EID_14167,Windows,8,0,Android,8,0
EID_12216,Windows,7,2,Android,8,1
EID_15950,Windows,10,1,Android,10,0
EID_18497,Windows,7,0,iOS,11,0
EID_9708,Windows,10,0,Android,8,0
EID_13743,Linux,ubuntu,0,Android,7,0
EID_5348,Windows,10,6,,,1
EID_7739,Windows,10,3,Android,8,0
EID_19104,Windows,10,0,Android,10,0
EID_10196,MacOS,Catalina,0,iOS,13,0
EID_22336,Windows,8,6,Android,8,0
EID_25136,Windows,10,3,Android,7,0
EID_16234,MacOS,Catalina,0,iOS,12,0
EID_7113,MacOS,High Sierra,2,iOS,13,0
EID_6731,Windows,10,2,Android,7,1
EID_10647,Windows,8,1,Android,10,0
EID_23281,Windows,10,3,Android,8,0
EID_17537,Windows,10,2,Android,10,1
EID_3554,Windows,10,1,Android,9,0
EID_2434,Windows,10,2,Android,8,1
EID_23317,MacOS,Catalina,0,iOS,11,0
EID_15700,MacOS,Mojave,0,iOS,13,0
EID_24987,MacOS,High Sierra,0,iOS,12,1
EID_9288,Windows,8,2,iOS,11,0
EID_25102,Windows,10,3,Android,8,1
EID_24111,MacOS,Catalina,0,iOS,13,0
EID_13058,Windows,8,2,Android,8,0
EID_15237,Windows,10,8,Android,8,2
EID_7506,Windows,10,3,Android,7,0
EID_6008,MacOS,Mojave,1,iOS,13,0
EID_14680,Windows,7,1,Android,10,1
EID_9700,MacOS,High Sierra,1,iOS,13,0
EID_24845,Windows,7,2,Android,8,0
EID_19771,Windows,10,1,Android,7,1
EID_17036,MacOS,Catalina,2,iOS,13,0
EID_23008,Windows,7,1,iOS,13,0
EID_3737,Linux,ubuntu,0,Android,8,0
EID_16018,Windows,7,0,Android,10,0
EID_15272,Windows,7,0,Android,8,0
EID_4401,Windows,10,3,iOS,12,0
EID_17912,Windows,10,2,Android,8,0
EID_23687,Windows,7,3,Android,8,0
EID_4125,Windows,8,6,Android,9,1
EID_20138,Windows,,2,Android,8,1
EID_23428,MacOS,Catalina,1,iOS,13,0
EID_10919,Windows,10,0,Android,9,0
EID_17551,Windows,10,0,Android,10,0
EID_13761,MacOS,Catalina,0,iOS,13,0
EID_6447,Windows,10,0,Android,8,0
EID_25903,MacOS,Mojave,0,iOS,12,0
EID_13606,Windows,8,5,Android,7,1
EID_10175,Windows,8,3,iOS,13,1
EID_15521,MacOS,Mojave,1,,,1
EID_8105,Windows,7,3,Android,8,2
EID_16026,Windows,7,4,Android,8,0
EID_5033,MacOS,Catalina,0,iOS,13,0
EID_23891,Windows,10,2,Android,10,0
EID_6839,Windows,10,4,Android,9,0
EID_3956,MacOS,High Sierra,2,,,0
EID_8335,Windows,10,0,Android,9,0
EID_11047,Windows,7,2,Android,8,2
EID_3166,Windows,8,6,Android,8,0
EID_20929,Windows,10,1,Android,9,1
EID_7460,Windows,10,2,Android,7,0
EID_14847,Windows,10,6,Android,10,2
EID_17086,Windows,10,7,Android,9,0
EID_4199,Windows,10,0,Android,8,0
EID_23163,Windows,8,0,Android,7,0
EID_20693,Windows,8,5,Android,8,1
EID_2483,Windows,8,0,Android,8,0
EID_11011,MacOS,Mojave,4,iOS,12,0
EID_23965,MacOS,High Sierra,0,iOS,12,0
EID_18864,Windows,8,2,Android,10,0
EID_24827,Windows,10,0,Android,8,0
EID_11436,Windows,10,2,Android,8,0
EID_4710,MacOS,Mojave,0,iOS,13,0
EID_24020,Windows,10,3,Android,7,1
EID_25077,Windows,7,0,Android,9,0
EID_9592,Windows,10,0,Android,7,0
EID_12822,Windows,8,0,Android,10,0
EID_13113,MacOS,Catalina,3,iOS,12,1
EID_20659,,,0,Android,8,0
EID_8513,Windows,10,2,Android,9,1
EID_12678,Windows,10,6,Android,7,3
EID_6806,Windows,10,3,Android,8,1
EID_15102,MacOS,Mojave,1,iOS,13,0
EID_5092,Linux,,2,Android,7,0
EID_12328,Windows,7,1,Android,7,1
EID_14992,MacOS,High Sierra,5,Android,8,0
EID_14638,Windows,7,5,Android,10,3
EID_8971,Windows,8,0,iOS,13,0
EID_19693,Linux,ubuntu,1,Android,10,0
EID_9162,Windows,10,3,Android,8,2
EID_22062,Windows,7,3,Android,7,2
EID_13555,Windows,7,5,iOS,13,0
EID_9318,Windows,10,2,Android,9,0
EID_23425,Windows,7,16,Android,9,2
EID_14306,Windows,7,5,Android,9,1
EID_25768,Windows,10,3,Android,7,3
EID_7957,Windows,10,2,Android,7,0
EID_14138,Windows,10,5,iOS,12,1
EID_25598,Windows,7,2,Android,7,1
EID_14636,Windows,10,1,Android,7,0
EID_22882,Windows,8,1,iOS,13,0
EID_23107,,,4,Android,8,2
EID_24043,Windows,8,5,Android,7,1
EID_20280,Windows,8,4,iOS,13,1
EID_3444,Windows,10,2,Android,9,0
EID_15160,MacOS,,0,iOS,13,0
EID_18273,Windows,10,0,,,0
EID_18230,Windows,10,15,Android,10,2
EID_24926,Windows,10,1,Android,8,0
EID_22192,MacOS,Catalina,1,iOS,,0
EID_1877,Windows,10,9,Android,10,2
EID_15170,Windows,10,5,Android,7,1
EID_17442,Windows,10,1,Android,8,0
EID_3072,Windows,10,18,Android,7,3
EID_11426,Windows,8,2,Android,9,2
EID_7714,Windows,,8,Android,7,1
EID_21612,Windows,10,4,Android,9,4
EID_15706,Windows,8,1,Android,8,0
EID_25264,Windows,7,1,Android,8,0
EID_9264,Windows,10,2,Android,7,0
EID_21590,MacOS,Big Sur,3,Android,7,0
EID_22742,Windows,10,1,iOS,13,0
EID_8129,Windows,10,2,Android,10,0
EID_18286,Windows,10,1,Android,10,0
EID_1347,Windows,8,3,Android,7,0
EID_4458,MacOS,Catalina,2,iOS,13,0
EID_4822,Windows,10,1,Android,7,0
EID_20364,MacOS,Mojave,1,iOS,13,0
EID_21629,Windows,10,3,Android,7,1
EID_21668,Windows,10,0,Android,7,0
EID_15788,MacOS,Catalina,0,iOS,13,0
EID_2257,MacOS,Catalina,2,iOS,12,0
EID_21471,Windows,8,1,Android,8,1
EID_25380,Windows,8,2,Android,8,1
EID_16665,Windows,10,5,Android,8,1
EID_6046,Windows,7,5,Android,8,0
EID_6529,Windows,7,8,Android,10,0
EID_18683,Windows,10,3,Android,8,0
EID_14961,Windows,8,0,,,0
EID_2302,Windows,10,3,Android,10,0
EID_2334,Windows,10,1,Android,9,1
EID_21263,Windows,10,3,Android,7,1
EID_16974,Windows,10,2,Android,9,0
EID_10142,Windows,8,4,Android,9,1
EID_6884,Windows,10,4,Android,7,1
EID_15549,Linux,ubuntu,0,Android,9,0
EID_9654,Windows,8,1,Android,8,2
EID_23779,MacOS,Catalina,0,iOS,13,0
EID_6096,Linux,ubuntu,1,Android,8,0
EID_18990,,,1,Android,8,1
EID_13035,MacOS,Catalina,1,iOS,13,0
EID_25462,Windows,10,0,Android,10,0
EID_17672,Windows,7,1,Android,10,0
EID_1537,Windows,8,1,Android,9,0
EID_23882,Windows,10,6,Android,8,0
EID_10908,Windows,10,4,Android,9,0
EID_10631,Linux,ubuntu,0,Android,9,0
EID_13342,Windows,8,0,Android,10,0
EID_3104,MacOS,Mojave,0,iOS,12,0
EID_21005,MacOS,Mojave,0,iOS,12,0
EID_18501,Windows,10,0,Android,7,0
EID_7671,Windows,10,6,Android,9,0
EID_8206,Windows,8,2,Android,8,1
EID_21483,Windows,8,2,Android,9,1
EID_11476,Windows,10,4,Android,8,0
EID_9259,MacOS,High Sierra,2,iOS,12,0
EID_25084,Windows,10,0,Android,8,0
EID_8773,Windows,10,0,Android,8,0
EID_19843,MacOS,Catalina,2,iOS,13,0
EID_7794,MacOS,Big Sur,3,iOS,12,1
EID_3809,MacOS,Mojave,4,iOS,13,0
EID_5309,MacOS,High Sierra,1,iOS,11,0
EID_4922,Windows,10,1,Android,8,1
EID_19413,Windows,8,5,iOS,12,1
EID_13722,Windows,8,1,Android,9,0
EID_12091,Windows,8,3,Android,10,0
EID_11418,MacOS,Big Sur,0,Android,10,0
EID_9101,Windows,10,2,Android,8,0
EID_12189,Windows,8,0,Android,7,1
EID_8687,Windows,7,0,Android,9,0
EID_5584,Windows,7,3,Android,7,1
EID_5776,Windows,10,5,Android,10,1
EID_17527,MacOS,Mojave,4,iOS,13,0
EID_1772,Windows,7,2,Android,7,2
EID_18430,MacOS,Catalina,0,iOS,13,0
EID_9650,Windows,8,0,Android,8,0
EID_7672,Windows,10,3,Android,10,0
EID_8706,Windows,10,0,Android,9,0
EID_24371,Windows,8,1,Android,10,0
EID_3464,Windows,10,1,Android,8,1
EID_5389,Windows,8,1,Android,7,0
EID_7134,Windows,8,5,iOS,13,0
EID_7188,Windows,10,23,Android,8,4
EID_13609,Windows,10,11,Android,8,2
EID_3267,Windows,10,0,Android,8,0
EID_18208,Windows,10,2,Android,9,0
EID_16450,Windows,8,2,Android,10,1
EID_24075,Windows,7,1,Android,10,1
EID_6444,Windows,7,2,iOS,13,0
EID_20932,MacOS,Mojave,2,iOS,11,0
EID_5242,Windows,10,0,Android,7,0
EID_17094,Windows,10,4,Android,9,0
EID_2249,Windows,10,4,Android,10,1
EID_11638,Windows,7,4,Android,8,1
EID_22036,Windows,8,3,Android,10,0
EID_11338,Windows,10,1,Android,7,1
EID_9078,Windows,10,6,Android,8,0
EID_25506,Windows,10,1,Android,9,0
EID_13324,Windows,10,0,Android,8,0
EID_16538,MacOS,Mojave,0,Android,8,0
EID_21234,MacOS,Mojave,2,iOS,13,0
EID_21085,Windows,10,11,Android,10,0
EID_16215,Windows,10,0,Android,8,0
EID_14321,Windows,10,5,Android,8,1
EID_12087,Windows,10,2,Android,10,0
EID_11610,Windows,7,2,Android,7,0
EID_20528,Windows,10,1,Android,8,0
EID_24198,Windows,10,6,Android,10,2
EID_12049,Windows,10,2,Android,8,0
EID_23013,Windows,10,3,Android,10,2
EID_22789,Windows,10,2,Android,7,2
EID_7285,Windows,10,3,iOS,13,0
EID_16539,Windows,8,2,Android,7,1
EID_20758,Windows,7,1,Android,7,1
EID_1457,Linux,ubuntu,0,Android,9,0
EID_17828,Windows,10,3,Android,8,0
EID_23439,Windows,7,0,Android,8,0
EID_9391,Windows,10,4,Android,9,1
EID_8500,Windows,8,15,Android,7,3
EID_25902,Windows,7,6,Android,10,1
EID_7222,Windows,8,3,Android,8,1
EID_9305,Windows,10,0,Android,7,0
EID_13146,Windows,7,3,Android,8,0
EID_13081,Windows,7,1,Android,8,0
EID_9656,Windows,7,4,Android,8,0
EID_13121,Linux,ubuntu,2,Android,7,0
EID_7924,,,7,Android,8,2
EID_2319,Windows,10,1,Android,9,2
EID_3888,MacOS,Mojave,2,iOS,13,0
EID_18036,,,4,Android,9,1
EID_22491,Windows,10,5,Android,7,0
EID_12151,Windows,10,9,Android,8,1
EID_14582,Windows,7,1,Android,8,0
EID_12711,Windows,10,1,Android,9,1
EID_3093,Windows,8,2,Android,8,1
EID_7521,Linux,ubuntu,0,iOS,13,0
EID_18069,Windows,10,4,Android,10,0
EID_13047,Windows,7,13,iOS,13,2
EID_17710,MacOS,Mojave,1,iOS,13,0
EID_13167,Windows,7,1,Android,10,0
EID_1273,MacOS,Catalina,1,iOS,12,0
EID_24786,Windows,10,1,Android,8,0
EID_13834,MacOS,Big Sur,2,Android,8,1
EID_23462,Windows,10,6,Android,8,1
EID_24246,Windows,7,6,Android,8,1
EID_19006,Windows,8,3,iOS,12,2
EID_23877,Linux,mint,0,Android,8,0
EID_4337,Windows,8,0,Android,10,0
EID_22704,MacOS,Catalina,0,iOS,11,0
EID_6381,Windows,8,15,Android,10,2
EID_25477,Windows,10,3,iOS,13,0
EID_22350,Windows,10,2,Android,8,0
EID_2176,Windows,10,0,Android,8,0
EID_6400,Windows,10,1,Android,8,0
EID_25342,MacOS,Mojave,0,iOS,13,0
EID_9013,Windows,10,3,Android,10,0
EID_6127,Windows,10,1,Android,10,2
EID_16557,Windows,10,7,Android,8,0
EID_11481,Windows,,8,Android,8,2
EID_4932,Windows,10,4,Android,10,1
EID_12825,Windows,7,2,Android,8,0
EID_11004,Windows,10,19,iOS,13,2
EID_7342,Windows,8,3,Android,7,0
EID_18730,Linux,ubuntu,0,Android,8,0
EID_24236,Windows,7,1,Android,10,2
EID_25344,Windows,10,7,Android,10,0
EID_10967,Windows,8,3,iOS,12,0
EID_23234,MacOS,Catalina,2,iOS,11,0
EID_8907,Windows,10,0,Android,8,0
EID_6538,Windows,10,2,Android,9,0
EID_23570,Windows,10,3,Android,8,0
EID_25977,Windows,10,1,,,0
EID_10234,Windows,10,1,iOS,11,0
EID_24301,Windows,10,0,Android,9,0
EID_8118,MacOS,Catalina,0,Android,7,0
EID_20461,Windows,7,7,Android,7,2
EID_21617,Windows,10,2,iOS,12,2
EID_19956,Windows,8,4,Android,10,2
EID_11549,MacOS,Mojave,1,iOS,13,0
EID_14019,Windows,10,0,Android,8,0
EID_14377,Windows,7,3,Android,8,1
EID_4924,Windows,10,15,Android,8,3
EID_13971,Windows,10,9,Android,10,1
EID_3612,Windows,10,0,Android,7,0
EID_25531,Windows,7,3,Android,8,0
EID_24437,Windows,10,1,Android,8,0
EID_1609,Windows,10,5,Android,7,1
EID_3613,Windows,10,4,Android,7,1
EID_14413,Windows,10,1,Android,8,0
EID_9927,Windows,10,3,Android,8,0
EID_4579,Windows,8,0,iOS,13,0
EID_19570,Windows,7,3,Android,7,0
EID_1844,Windows,10,1,Android,8,0
EID_1671,Windows,8,2,Android,10,1
EID_4934,Windows,10,2,Android,8,1
EID_20399,Windows,10,6,iOS,13,1
EID_20688,Windows,10,1,Android,8,0
EID_20763,Windows,10,4,Android,10,1
EID_9633,Windows,10,5,Android,8,0
EID_16909,MacOS,High Sierra,0,iOS,13,0
EID_18994,Windows,10,1,Android,10,0
EID_10877,Windows,10,1,iOS,13,1
EID_14899,Windows,10,0,Android,8,0
EID_11947,MacOS,Mojave,1,iOS,11,0
EID_18176,Linux,ubuntu,0,Android,8,0
EID_24713,Windows,10,2,Android,7,1
EID_11565,Windows,8,7,Android,9,2
EID_14576,Windows,10,1,Android,8,3
EID_12606,MacOS,Big Sur,4,iOS,13,0
EID_24741,Windows,10,1,Android,8,1
EID_25612,Windows,,2,Android,7,1
EID_2954,Windows,10,0,Android,7,0
EID_19019,Windows,10,2,Android,7,0
EID_22776,MacOS,High Sierra,1,iOS,13,0
EID_22969,Windows,10,1,,,1
EID_7035,Windows,10,0,Android,8,0
EID_15835,Windows,7,1,Android,8,2
EID_22629,Windows,10,1,Android,7,0
EID_18451,Windows,10,5,Android,10,2
EID_5298,Windows,10,0,Android,7,0
EID_4593,Windows,10,2,Android,10,0
EID_21108,MacOS,High Sierra,1,iOS,12,0
EID_17471,Windows,10,1,Android,8,0
EID_11949,Windows,10,0,iOS,13,0
EID_3893,Windows,8,1,Android,10,1
EID_4147,Windows,8,12,Android,7,2
EID_4461,Windows,8,0,Android,8,0
EID_20507,MacOS,Big Sur,0,iOS,13,0
EID_7493,Windows,10,6,Android,7,0
EID_19645,Windows,10,0,Android,8,0
EID_9004,,,2,Android,7,2
EID_17456,Windows,10,2,Android,8,0
EID_17985,Windows,10,0,Android,8,0
EID_12070,Windows,10,3,Android,8,1
EID_21345,Windows,10,0,Android,8,1
EID_13043,Linux,ubuntu,1,Android,8,0
EID_25906,Windows,8,2,Android,8,0
EID_24018,MacOS,High Sierra,0,iOS,13,0
EID_4117,Windows,10,0,Android,7,0
EID_19652,Windows,7,2,Android,8,1
EID_24158,Windows,10,9,Android,10,0
EID_25294,Windows,8,2,Android,8,1
EID_13999,Windows,10,1,Android,8,1
EID_18352,Windows,10,5,Android,7,0
EID_20434,Windows,10,10,Android,9,4
EID_12323,Windows,10,1,Android,9,0
EID_14639,Windows,8,5,Android,10,1
EID_21103,Windows,10,2,Android,10,0
EID_20873,Windows,8,2,Android,8,2
EID_17644,Windows,10,2,,,0
EID_3155,Windows,10,0,Android,8,0
EID_21217,Windows,10,1,Android,8,0
EID_14946,MacOS,Catalina,4,Android,7,0
EID_12603,Windows,10,0,,,0
EID_4231,Windows,7,2,Android,10,0
EID_18056,Windows,10,1,Android,7,2
EID_3317,Windows,8,5,Android,8,0
EID_15607,Linux,ubuntu,1,Android,10,0
EID_3817,,,2,Android,8,0
EID_17005,MacOS,Catalina,1,iOS,13,0
EID_10520,Windows,,0,Android,7,0
EID_25439,MacOS,Mojave,0,iOS,13,0
EID_11767,Linux,ubuntu,0,Android,10,0
EID_1469,Windows,10,4,iOS,13,1
EID_2476,Windows,7,6,Android,8,2
EID_14973,Windows,8,3,Android,8,2
EID_2706,Windows,10,3,Android,10,1
EID_9963,Windows,10,2,Android,9,0
EID_18941,MacOS,High Sierra,0,iOS,12,0
EID_14979,Windows,10,1,Android,10,1
EID_2289,Windows,10,2,Android,7,1
EID_3426,,,0,Android,10,0
EID_24410,Windows,10,2,Android,8,0
EID_20665,Windows,10,8,Android,7,4
EID_2366,Windows,8,0,Android,8,0
EID_15825,Windows,10,0,Android,10,0
EID_11840,Windows,10,0,Android,8,0
EID_19229,Windows,8,1,Android,8,0
EID_8885,Linux,ubuntu,0,Android,7,0
EID_19533,Windows,10,7,Android,8,1
EID_24426,,,4,Android,9,1
EID_7977,Windows,10,1,Android,8,0
EID_24207,Windows,10,6,Android,9,1
EID_7086,Windows,7,0,iOS,12,0
EID_2360,Windows,8,0,Android,9,0
EID_17400,Windows,10,4,Android,9,0
EID_15896,Windows,8,8,Android,8,5
EID_19544,Windows,7,6,Android,8,2
EID_6311,Windows,10,0,Android,8,0
EID_10543,Windows,7,5,Android,9,0
EID_17332,MacOS,Mojave,2,,,0
EID_14877,Windows,10,6,Android,8,0
EID_5480,Windows,7,2,Android,10,0
EID_3814,Windows,7,3,Android,9,0
EID_20236,Windows,10,3,iOS,12,0
EID_9401,Windows,10,6,Android,7,4
EID_20594,Windows,10,3,Android,9,0
EID_19237,Windows,10,5,Android,10,0
EID_12288,Windows,10,3,Android,8,1
EID_6333,Windows,10,5,Android,7,3
EID_19198,Windows,10,0,Android,9,0
EID_11951,Windows,10,0,Android,8,0
EID_8895,MacOS,Catalina,0,iOS,13,0
EID_1298,Windows,10,3,Android,8,0
EID_4921,Windows,8,1,Android,8,0
EID_21051,Windows,10,6,Android,8,2
EID_23090,Windows,10,7,Android,10,0
EID_14579,MacOS,Mojave,1,Android,9,1
EID_20503,Windows,,0,Android,7,1
